time,datum,time_as_number,all_salt,closest_salt
1962-07-20 08:25:00,20.07.1962,8.416666666666666,,
1962-07-23 09:20:00,23.07.1962,9.333333333333334,,
1962-07-24 09:00:00,24.07.1962,9.0,,
1962-07-25 08:55:00,25.07.1962,8.916666666666666,,
1962-07-30 09:10:00,30.07.1962,9.166666666666666,,
1962-07-31 09:00:00,31.07.1962,9.0,,
1962-08-01 09:20:00,01.08.1962,9.333333333333334,,
1962-08-02 09:00:00,02.08.1962,9.0,,
1962-08-03 08:20:00,03.08.1962,8.333333333333334,,
1962-08-06 09:45:00,06.08.1962,9.75,,
1962-08-07 09:00:00,07.08.1962,9.0,,
1962-08-09 08:05:00,09.08.1962,8.083333333333334,,
1962-08-10 09:45:00,10.08.1962,9.75,,
1962-08-13 08:15:00,13.08.1962,8.25,,
1962-08-14 09:00:00,14.08.1962,9.0,,
1962-08-15 08:15:00,15.08.1962,8.25,,
1962-08-16 09:00:00,16.08.1962,9.0,,
1962-08-17 09:15:00,17.08.1962,9.25,,
1962-08-20 10:00:00,20.08.1962,10.0,,
1962-08-21 09:00:00,21.08.1962,9.0,,
1962-08-22 09:55:00,22.08.1962,9.916666666666666,,
1962-08-23 09:00:00,23.08.1962,9.0,,
1962-08-24 10:55:00,24.08.1962,10.916666666666666,,
1962-08-27 10:15:00,27.08.1962,10.25,,
1962-08-28 09:00:00,28.08.1962,9.0,,
1962-08-29 10:20:00,29.08.1962,10.333333333333334,,
1962-08-30 09:00:00,30.08.1962,9.0,,
1962-09-03 09:50:00,03.09.1962,9.833333333333334,,
1962-09-04 09:00:00,04.09.1962,9.0,,
1962-09-05 08:20:00,05.09.1962,8.333333333333334,,
1962-09-06 09:00:00,06.09.1962,9.0,,
1962-09-07 08:50:00,07.09.1962,8.833333333333334,,
1962-09-10 10:10:00,10.09.1962,10.166666666666666,,
1962-09-11 09:00:00,11.09.1962,9.0,,
1962-09-12 10:00:00,12.09.1962,10.0,,
1962-09-14 10:15:00,14.09.1962,10.25,,
1962-09-17 09:30:00,17.09.1962,9.5,,
1962-09-18 09:00:00,18.09.1962,9.0,,
1962-09-19 09:45:00,19.09.1962,9.75,,
1962-09-20 09:00:00,20.09.1962,9.0,,
1962-09-24 09:15:00,24.09.1962,9.25,,
1962-09-25 09:00:00,25.09.1962,9.0,,
1962-09-27 07:55:00,27.09.1962,7.916666666666667,,
1962-09-28 07:55:00,28.09.1962,7.916666666666667,,
1962-10-01 09:00:00,01.10.1962,9.0,,
1962-10-02 09:00:00,02.10.1962,9.0,,
1962-10-03 09:35:00,03.10.1962,9.583333333333334,,
1962-10-04 09:00:00,04.10.1962,9.0,,
1962-10-05 07:50:00,05.10.1962,7.833333333333333,,
1962-10-08 08:50:00,08.10.1962,8.833333333333334,,
1962-10-09 09:00:00,09.10.1962,9.0,,
1962-10-10 09:05:00,10.10.1962,9.083333333333334,,
1962-10-11 09:00:00,11.10.1962,9.0,,
1962-10-12 09:20:00,12.10.1962,9.333333333333334,,
1962-10-15 09:20:00,15.10.1962,9.333333333333334,,
1962-10-16 09:00:00,16.10.1962,9.0,,
1962-10-17 09:15:00,17.10.1962,9.25,,
1962-10-18 09:00:00,18.10.1962,9.0,,
1962-10-19 09:40:00,19.10.1962,9.666666666666666,,
1962-10-22 09:20:00,22.10.1962,9.333333333333334,,
1962-10-23 09:00:00,23.10.1962,9.0,,
1962-10-24 07:50:00,24.10.1962,7.833333333333333,,
1962-10-25 09:00:00,25.10.1962,9.0,,
1962-10-26 09:25:00,26.10.1962,9.416666666666666,,
1962-10-29 09:35:00,29.10.1962,9.583333333333334,,
1962-11-01 09:20:00,01.11.1962,9.333333333333334,,
1962-11-02 08:00:00,02.11.1962,8.0,,
1962-11-05 07:50:00,05.11.1962,7.833333333333333,,
1962-11-07 09:10:00,07.11.1962,9.166666666666666,,
1962-11-12 08:40:00,12.11.1962,8.666666666666666,,
1962-11-13 09:00:00,13.11.1962,9.0,,
1962-11-14 08:00:00,14.11.1962,8.0,,
1962-11-15 09:00:00,15.11.1962,9.0,,
1962-11-16 10:25:00,16.11.1962,10.416666666666666,,
1962-11-19 08:00:00,19.11.1962,8.0,,
1962-11-20 09:00:00,20.11.1962,9.0,,
1962-11-22 09:30:00,22.11.1962,9.5,,
1962-11-23 08:40:00,23.11.1962,8.666666666666666,,
1962-11-26 09:25:00,26.11.1962,9.416666666666666,,
1962-11-27 09:00:00,27.11.1962,9.0,,
1962-11-28 09:50:00,28.11.1962,9.833333333333334,,
1962-11-29 09:00:00,29.11.1962,9.0,,
1962-11-30 09:00:00,30.11.1962,9.0,,
1962-12-03 09:20:00,03.12.1962,9.333333333333334,,
1962-12-04 09:00:00,04.12.1962,9.0,,
1962-12-05 09:55:00,05.12.1962,9.916666666666666,,
1962-12-06 09:00:00,06.12.1962,9.0,,
1962-12-07 09:25:00,07.12.1962,9.416666666666666,,
1962-12-12 10:05:00,12.12.1962,10.083333333333334,,
1962-12-13 09:00:00,13.12.1962,9.0,,
1962-12-14 10:20:00,14.12.1962,10.333333333333334,,
1962-12-17 09:30:00,17.12.1962,9.5,,
1962-12-18 09:00:00,18.12.1962,9.0,,
1962-12-20 09:00:00,20.12.1962,9.0,,
1962-12-27 09:00:00,27.12.1962,9.0,,
1962-12-28 09:40:00,28.12.1962,9.666666666666666,,
1963-01-07 09:30:00,07.01.1963,9.5,,
1963-01-08 09:00:00,08.01.1963,9.0,,
1963-01-09 10:25:00,09.01.1963,10.416666666666666,,
1963-01-10 09:00:00,10.01.1963,9.0,,
1963-01-11 10:50:00,11.01.1963,10.833333333333334,,
1963-01-15 10:40:00,15.01.1963,10.666666666666666,,
1963-01-17 09:40:00,17.01.1963,9.666666666666666,,
1963-01-21 13:35:00,21.01.1963,13.583333333333334,,
1963-01-22 09:00:00,22.01.1963,9.0,,
1963-01-23 09:45:00,23.01.1963,9.75,,
1963-01-24 09:00:00,24.01.1963,9.0,,
1963-01-25 10:00:00,25.01.1963,10.0,,
1963-01-28 10:15:00,28.01.1963,10.25,,
1963-01-29 09:00:00,29.01.1963,9.0,,
1963-01-30 09:00:00,30.01.1963,9.0,,
1963-01-31 09:00:00,31.01.1963,9.0,,
1963-02-01 09:40:00,01.02.1963,9.666666666666666,,
1963-02-04 09:20:00,04.02.1963,9.333333333333334,,
1963-02-05 09:00:00,05.02.1963,9.0,,
1963-02-06 09:20:00,06.02.1963,9.333333333333334,,
1963-02-13 09:00:00,13.02.1963,9.0,,
1963-02-14 09:55:00,14.02.1963,9.916666666666666,,
1963-02-15 09:00:00,15.02.1963,9.0,,
1963-02-20 08:30:00,20.02.1963,8.5,,
1963-02-22 08:20:00,22.02.1963,8.333333333333334,,
1963-02-25 09:55:00,25.02.1963,9.916666666666666,,
1963-02-26 09:00:00,26.02.1963,9.0,,
1963-02-27 09:30:00,27.02.1963,9.5,,
1963-02-28 09:00:00,28.02.1963,9.0,,
1963-03-04 10:35:00,04.03.1963,10.583333333333334,,
1963-03-05 09:00:00,05.03.1963,9.0,,
1963-03-06 10:20:00,06.03.1963,10.333333333333334,,
1963-03-07 09:00:00,07.03.1963,9.0,,
1963-03-08 10:05:00,08.03.1963,10.083333333333334,,
1963-03-11 09:45:00,11.03.1963,9.75,,
1963-03-12 09:00:00,12.03.1963,9.0,,
1963-03-13 07:50:00,13.03.1963,7.833333333333333,,
1963-03-14 09:00:00,14.03.1963,9.0,,
1963-03-18 10:50:00,18.03.1963,10.833333333333334,,
1963-03-19 09:00:00,19.03.1963,9.0,,
1963-03-20 09:15:00,20.03.1963,9.25,,
1963-03-21 09:00:00,21.03.1963,9.0,,
1963-03-22 08:55:00,22.03.1963,8.916666666666666,,
1963-03-25 09:20:00,25.03.1963,9.333333333333334,,
1963-03-26 08:55:00,26.03.1963,8.916666666666666,,
1963-03-27 08:50:00,27.03.1963,8.833333333333334,,
1963-03-28 09:00:00,28.03.1963,9.0,,
1963-03-29 09:55:00,29.03.1963,9.916666666666666,,
1963-04-01 09:20:00,01.04.1963,9.333333333333334,,
1963-04-03 13:40:00,03.04.1963,13.666666666666666,,
1963-04-04 09:00:00,04.04.1963,9.0,,
1963-04-05 09:35:00,05.04.1963,9.583333333333334,,
1963-04-08 08:50:00,08.04.1963,8.833333333333334,,
1963-04-09 09:00:00,09.04.1963,9.0,,
1963-04-10 09:20:00,10.04.1963,9.333333333333334,,
1963-04-11 09:00:00,11.04.1963,9.0,,
1963-04-16 08:20:00,16.04.1963,8.333333333333334,,
1963-04-17 09:00:00,17.04.1963,9.0,,
1963-04-18 09:10:00,18.04.1963,9.166666666666666,,
1963-04-19 09:00:00,19.04.1963,9.0,,
1963-04-22 09:05:00,22.04.1963,9.083333333333334,,
1963-04-23 09:00:00,23.04.1963,9.0,,
1963-04-24 09:15:00,24.04.1963,9.25,,
1963-04-25 09:00:00,25.04.1963,9.0,,
1963-04-26 08:55:00,26.04.1963,8.916666666666666,,
1963-04-29 09:15:00,29.04.1963,9.25,,
1963-04-30 09:00:00,30.04.1963,9.0,,
1963-05-02 09:20:00,02.05.1963,9.333333333333334,,
1963-05-03 09:00:00,03.05.1963,9.0,,
1963-05-06 09:05:00,06.05.1963,9.083333333333334,,
1963-05-07 09:00:00,07.05.1963,9.0,,
1963-05-08 09:05:00,08.05.1963,9.083333333333334,,
1963-05-09 08:50:00,09.05.1963,8.833333333333334,,
1963-05-13 09:30:00,13.05.1963,9.5,,
1963-05-14 09:00:00,14.05.1963,9.0,,
1963-05-15 09:20:00,15.05.1963,9.333333333333334,,
1963-05-16 09:00:00,16.05.1963,9.0,,
1963-05-20 09:00:00,20.05.1963,9.0,,
1963-05-22 08:30:00,22.05.1963,8.5,,
1963-05-24 08:45:00,24.05.1963,8.75,,
1963-05-27 08:30:00,27.05.1963,8.5,,
1963-05-28 09:00:00,28.05.1963,9.0,,
1963-05-29 08:15:00,29.05.1963,8.25,,
1963-05-30 10:50:00,30.05.1963,10.833333333333334,,
1963-06-04 08:25:00,04.06.1963,8.416666666666666,,
1963-06-05 08:25:00,05.06.1963,8.416666666666666,,
1963-06-06 09:00:00,06.06.1963,9.0,,
1963-06-07 09:35:00,07.06.1963,9.583333333333334,,
1963-06-10 09:05:00,10.06.1963,9.083333333333334,,
1963-06-11 09:00:00,11.06.1963,9.0,,
1963-06-12 07:50:00,12.06.1963,7.833333333333333,,
1963-06-13 09:00:00,13.06.1963,9.0,,
1963-06-14 09:10:00,14.06.1963,9.166666666666666,,
1963-06-18 09:20:00,18.06.1963,9.333333333333334,,
1963-06-19 09:00:00,19.06.1963,9.0,,
1963-06-20 08:10:00,20.06.1963,8.166666666666666,,
1963-06-21 08:25:00,21.06.1963,8.416666666666666,,
1963-06-24 08:10:00,24.06.1963,8.166666666666666,,
1963-06-26 08:15:00,26.06.1963,8.25,,
1963-06-27 09:00:00,27.06.1963,9.0,,
1963-06-28 09:00:00,28.06.1963,9.0,,
1963-07-01 08:45:00,01.07.1963,8.75,,
1963-07-02 09:00:00,02.07.1963,9.0,,
1963-07-03 08:55:00,03.07.1963,8.916666666666666,,
1963-07-04 09:00:00,04.07.1963,9.0,,
1963-07-05 08:05:00,05.07.1963,8.083333333333334,,
1963-07-08 09:25:00,08.07.1963,9.416666666666666,,
1963-07-10 08:35:00,10.07.1963,8.583333333333334,,
1963-07-11 09:00:00,11.07.1963,9.0,,
1963-07-12 08:50:00,12.07.1963,8.833333333333334,,
1963-07-15 06:28:00,15.07.1963,6.466666666666667,,
1963-07-16 09:00:00,16.07.1963,9.0,,
1963-07-17 07:45:00,17.07.1963,7.75,,
1963-07-18 09:00:00,18.07.1963,9.0,,
1963-07-19 08:55:00,19.07.1963,8.916666666666666,,
1963-07-22 08:00:00,22.07.1963,8.0,,
1963-07-23 09:00:00,23.07.1963,9.0,,
1963-07-24 08:50:00,24.07.1963,8.833333333333334,,
1963-07-26 08:00:00,26.07.1963,8.0,,
1963-07-29 08:00:00,29.07.1963,8.0,,
1963-07-30 09:00:00,30.07.1963,9.0,,
1963-07-31 08:45:00,31.07.1963,8.75,,
1963-08-01 09:00:00,01.08.1963,9.0,,
1963-08-02 08:00:00,02.08.1963,8.0,,
1963-08-05 08:00:00,05.08.1963,8.0,,
1963-08-06 09:00:00,06.08.1963,9.0,,
1963-08-07 09:00:00,07.08.1963,9.0,,
1963-08-08 09:00:00,08.08.1963,9.0,,
1963-08-09 10:10:00,09.08.1963,10.166666666666666,,
1963-08-12 09:40:00,12.08.1963,9.666666666666666,,
1963-08-13 09:00:00,13.08.1963,9.0,,
1963-08-14 09:40:00,14.08.1963,9.666666666666666,,
1963-08-15 09:00:00,15.08.1963,9.0,,
1963-08-16 10:05:00,16.08.1963,10.083333333333334,,
1963-08-19 10:15:00,19.08.1963,10.25,,
1963-08-20 09:00:00,20.08.1963,9.0,,
1963-08-21 08:40:00,21.08.1963,8.666666666666666,,
1963-08-22 09:00:00,22.08.1963,9.0,,
1963-08-26 09:00:00,26.08.1963,9.0,,
1963-08-27 09:00:00,27.08.1963,9.0,,
1963-08-28 09:00:00,28.08.1963,9.0,,
1963-08-29 09:00:00,29.08.1963,9.0,,
1963-08-30 08:45:00,30.08.1963,8.75,,
1963-09-02 08:40:00,02.09.1963,8.666666666666666,,
1963-09-03 09:00:00,03.09.1963,9.0,,
1963-09-04 09:15:00,04.09.1963,9.25,,
1963-09-05 09:00:00,05.09.1963,9.0,,
1963-09-06 09:45:00,06.09.1963,9.75,,
1963-09-09 09:30:00,09.09.1963,9.5,,
1963-09-10 09:00:00,10.09.1963,9.0,,
1963-09-11 08:45:00,11.09.1963,8.75,,
1963-09-12 09:00:00,12.09.1963,9.0,,
1963-09-13 11:00:00,13.09.1963,11.0,,
1963-09-16 09:35:00,16.09.1963,9.583333333333334,,
1963-09-17 09:00:00,17.09.1963,9.0,,
1963-09-18 08:45:00,18.09.1963,8.75,,
1963-09-19 09:00:00,19.09.1963,9.0,,
1963-09-20 10:40:00,20.09.1963,10.666666666666666,,
1963-09-23 09:40:00,23.09.1963,9.666666666666666,,
1963-09-24 09:00:00,24.09.1963,9.0,,
1963-09-25 09:00:00,25.09.1963,9.0,,
1963-09-26 09:00:00,26.09.1963,9.0,,
1963-09-30 09:30:00,30.09.1963,9.5,,
1963-10-01 09:00:00,01.10.1963,9.0,,
1963-10-02 08:45:00,02.10.1963,8.75,,
1963-10-03 09:00:00,03.10.1963,9.0,,
1963-10-04 08:30:00,04.10.1963,8.5,,
1963-10-07 09:35:00,07.10.1963,9.583333333333334,,
1963-10-09 09:55:00,09.10.1963,9.916666666666666,,
1963-10-11 09:40:00,11.10.1963,9.666666666666666,,
1963-10-15 09:30:00,15.10.1963,9.5,,
1963-10-16 10:00:00,16.10.1963,10.0,,
1963-10-17 09:00:00,17.10.1963,9.0,,
1963-10-18 09:10:00,18.10.1963,9.166666666666666,,
1963-10-21 08:20:00,21.10.1963,8.333333333333334,,
1963-10-22 09:00:00,22.10.1963,9.0,,
1963-10-23 09:55:00,23.10.1963,9.916666666666666,,
1963-10-25 08:45:00,25.10.1963,8.75,,
1963-10-28 08:20:00,28.10.1963,8.333333333333334,,
1963-10-30 09:50:00,30.10.1963,9.833333333333334,,
1963-10-31 09:00:00,31.10.1963,9.0,,
1963-11-01 09:45:00,01.11.1963,9.75,,
1963-11-04 07:50:00,04.11.1963,7.833333333333333,,
1963-11-06 10:10:00,06.11.1963,10.166666666666666,,
1963-11-07 09:00:00,07.11.1963,9.0,,
1963-11-08 08:20:00,08.11.1963,8.333333333333334,,
1963-11-11 10:00:00,11.11.1963,10.0,,
1963-11-13 08:00:00,13.11.1963,8.0,,
1963-11-15 08:30:00,15.11.1963,8.5,,
1963-11-19 10:20:00,19.11.1963,10.333333333333334,,
1963-11-21 09:00:00,21.11.1963,9.0,,
1963-11-25 08:40:00,25.11.1963,8.666666666666666,,
1963-11-26 14:00:00,26.11.1963,14.0,,
1963-11-27 08:30:00,27.11.1963,8.5,,
1963-11-28 09:00:00,28.11.1963,9.0,,
1963-11-29 09:00:00,29.11.1963,9.0,,
1963-12-02 09:35:00,02.12.1963,9.583333333333334,,
1963-12-03 09:00:00,03.12.1963,9.0,,
1963-12-04 09:40:00,04.12.1963,9.666666666666666,,
1963-12-05 09:00:00,05.12.1963,9.0,,
1963-12-06 08:25:00,06.12.1963,8.416666666666666,,
1963-12-09 09:15:00,09.12.1963,9.25,,
1963-12-10 09:00:00,10.12.1963,9.0,,
1963-12-11 09:10:00,11.12.1963,9.166666666666666,,
1963-12-12 09:00:00,12.12.1963,9.0,,
1963-12-16 09:00:00,16.12.1963,9.0,,
1963-12-17 09:00:00,17.12.1963,9.0,,
1963-12-18 09:20:00,18.12.1963,9.333333333333334,,
1963-12-20 10:05:00,20.12.1963,10.083333333333334,,
1963-12-23 08:35:00,23.12.1963,8.583333333333334,,
1963-12-24 09:00:00,24.12.1963,9.0,,
1963-12-30 10:10:00,30.12.1963,10.166666666666666,,
1963-12-31 09:00:00,31.12.1963,9.0,,
1964-01-02 09:00:00,02.01.1964,9.0,,
1964-01-03 09:35:00,03.01.1964,9.583333333333334,,
1964-01-06 10:05:00,06.01.1964,10.083333333333334,,
1964-01-07 09:00:00,07.01.1964,9.0,,
1964-01-08 09:25:00,08.01.1964,9.416666666666666,,
1964-01-09 09:00:00,09.01.1964,9.0,,
1964-01-10 10:35:00,10.01.1964,10.583333333333334,,
1964-01-13 10:05:00,13.01.1964,10.083333333333334,,
1964-01-14 09:00:00,14.01.1964,9.0,,
1964-01-15 09:55:00,15.01.1964,9.916666666666666,,
1964-01-16 09:00:00,16.01.1964,9.0,,
1964-01-17 09:10:00,17.01.1964,9.166666666666666,,
1964-01-20 09:25:00,20.01.1964,9.416666666666666,,
1964-01-21 09:00:00,21.01.1964,9.0,,
1964-01-22 09:55:00,22.01.1964,9.916666666666666,,
1964-01-23 09:00:00,23.01.1964,9.0,,
1964-01-24 09:50:00,24.01.1964,9.833333333333334,,
1964-01-27 10:00:00,27.01.1964,10.0,,
1964-01-28 09:00:00,28.01.1964,9.0,,
1964-01-29 10:00:00,29.01.1964,10.0,,
1964-01-30 09:00:00,30.01.1964,9.0,,
1964-01-31 09:00:00,31.01.1964,9.0,,
1964-02-03 10:00:00,03.02.1964,10.0,,
1964-02-04 09:00:00,04.02.1964,9.0,,
1964-02-05 09:05:00,05.02.1964,9.083333333333334,,
1964-02-06 09:00:00,06.02.1964,9.0,,
1964-02-07 10:05:00,07.02.1964,10.083333333333334,,
1964-02-10 10:05:00,10.02.1964,10.083333333333334,,
1964-02-11 09:00:00,11.02.1964,9.0,,
1964-02-12 09:55:00,12.02.1964,9.916666666666666,,
1964-02-13 09:00:00,13.02.1964,9.0,,
1964-02-14 09:15:00,14.02.1964,9.25,,
1964-02-18 09:00:00,18.02.1964,9.0,,
1964-02-19 09:45:00,19.02.1964,9.75,,
1964-02-20 09:00:00,20.02.1964,9.0,,
1964-02-21 09:40:00,21.02.1964,9.666666666666666,,
1964-02-24 09:20:00,24.02.1964,9.333333333333334,,
1964-02-25 09:00:00,25.02.1964,9.0,,
1964-02-26 09:55:00,26.02.1964,9.916666666666666,,
1964-02-27 09:00:00,27.02.1964,9.0,,
1964-03-02 08:50:00,02.03.1964,8.833333333333334,,
1964-03-03 09:00:00,03.03.1964,9.0,,
1964-03-04 10:15:00,04.03.1964,10.25,,
1964-03-05 09:00:00,05.03.1964,9.0,,
1964-03-06 09:50:00,06.03.1964,9.833333333333334,,
1964-03-09 09:35:00,09.03.1964,9.583333333333334,,
1964-03-10 09:00:00,10.03.1964,9.0,,
1964-03-11 10:05:00,11.03.1964,10.083333333333334,,
1964-03-12 09:00:00,12.03.1964,9.0,,
1964-03-16 10:55:00,16.03.1964,10.916666666666666,,
1964-03-17 09:00:00,17.03.1964,9.0,,
1964-03-18 09:50:00,18.03.1964,9.833333333333334,,
1964-03-19 09:00:00,19.03.1964,9.0,,
1964-03-20 14:45:00,20.03.1964,14.75,,
1964-03-23 10:10:00,23.03.1964,10.166666666666666,,
1964-03-24 09:00:00,24.03.1964,9.0,,
1964-03-25 09:55:00,25.03.1964,9.916666666666666,,
1964-03-26 09:00:00,26.03.1964,9.0,,
1964-03-31 10:00:00,31.03.1964,10.0,,
1964-04-01 09:00:00,01.04.1964,9.0,,
1964-04-02 09:50:00,02.04.1964,9.833333333333334,,
1964-04-03 09:00:00,03.04.1964,9.0,,
1964-04-06 09:00:00,06.04.1964,9.0,,
1964-04-08 09:15:00,08.04.1964,9.25,,
1964-04-10 09:40:00,10.04.1964,9.666666666666666,,
1964-04-13 09:55:00,13.04.1964,9.916666666666666,,
1964-04-14 09:00:00,14.04.1964,9.0,,
1964-04-15 08:50:00,15.04.1964,8.833333333333334,,
1964-04-16 09:00:00,16.04.1964,9.0,,
1964-04-17 10:50:00,17.04.1964,10.833333333333334,,
1964-04-20 09:40:00,20.04.1964,9.666666666666666,,
1964-04-21 09:00:00,21.04.1964,9.0,,
1964-04-22 09:50:00,22.04.1964,9.833333333333334,,
1964-04-23 09:00:00,23.04.1964,9.0,,
1964-04-24 09:30:00,24.04.1964,9.5,,
1964-04-27 09:50:00,27.04.1964,9.833333333333334,,
1964-04-28 09:00:00,28.04.1964,9.0,,
1964-04-29 09:50:00,29.04.1964,9.833333333333334,,
1964-04-30 09:00:00,30.04.1964,9.0,,
1964-05-04 09:50:00,04.05.1964,9.833333333333334,,
1964-05-05 09:00:00,05.05.1964,9.0,,
1964-05-06 09:45:00,06.05.1964,9.75,,
1964-05-07 10:05:00,07.05.1964,10.083333333333334,,
1964-05-14 10:45:00,14.05.1964,10.75,,
1964-05-15 11:15:00,15.05.1964,11.25,,
1964-05-19 09:55:00,19.05.1964,9.916666666666666,,
1964-05-20 09:00:00,20.05.1964,9.0,,
1964-05-21 09:15:00,21.05.1964,9.25,,
1964-05-22 09:00:00,22.05.1964,9.0,,
1964-05-25 09:40:00,25.05.1964,9.666666666666666,,
1964-05-26 08:05:00,26.05.1964,8.083333333333334,,
